,CRASH_RECORD_ID,RD_NO,CRASH_DATE_EST_I,CRASH_DATE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,LANE_CNT,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,REPORT_TYPE,CRASH_TYPE,INTERSECTION_RELATED_I,NOT_RIGHT_OF_WAY_I,HIT_AND_RUN_I,DAMAGE,DATE_POLICE_NOTIFIED,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,BEAT_OF_OCCURRENCE,PHOTOS_TAKEN_I,STATEMENTS_TAKEN_I,DOORING_I,WORK_ZONE_I,WORK_ZONE_TYPE,WORKERS_PRESENT_I,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE,LOCATION,Date,Latitude,Longitude,geometry,index_right
135,45d1875795af1a3be1b6193d181c875faaed295afadd7ce7cabe2a3a8e6c5c05d2bfc98684723f139e1ed68e78620afa3cc9a955786c6ec30e12487ca6b6021b,JB534245,,11/30/2018 07:45:00 AM,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDALCYCLIST,ONE-WAY,,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,$500 OR LESS,11/30/2018 08:00:00 AM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,740,W,RANDOLPH ST,1224.0,,,,,,,2.0,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,2.0,0.0,7,6,11,41.884516857,-87.647390682,POINT (-87.647390681951 41.884516857046),2018-11-30 07:45:00,41.884516857,-87.647390682,POINT (-87.64739068199999 41.884516857),0
169,527f8e117c4e8346ce16c833ce78df771c76dc3864a06b450c3f66ca1d6a4da60f335f89f9ff016ea99adad3a8509c5361adf136ec5482f7bdb64ad51645b851,JB327605,,06/28/2018 06:21:00 PM,20,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,DIVIDED - W/MEDIAN (NOT RAISED),4.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,,INJURY AND / OR TOW DUE TO CRASH,,,Y,$500 OR LESS,06/29/2018 11:55:00 AM,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,800,W,GRAND AVE,1214.0,,,,,,,2.0,"REPORTED, NOT EVIDENT",1.0,0.0,0.0,0.0,1.0,1.0,0.0,18,5,6,41.891293713,-87.647680593,POINT (-87.647680593026 41.891293712961),2018-06-28 18:21:00,41.891293713,-87.647680593,POINT (-87.647680593 41.891293713),0
175,5529821b5dfb2a3785269bae7281d3302997768963872db07d14b05bf285bd38507fba71244855284ca1157cd920c2e5e8f33dff66573840113a4eb0a9491df5,JA428767,,09/12/2017 04:00:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,DIVIDED - W/MEDIAN (NOT RAISED),2.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",09/12/2017 05:00:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,3250,N,CALIFORNIA AVE,1733.0,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,16,3,9,41.940888056,-87.698018017,POINT (-87.698018017013 41.940888055988),2017-09-12 16:00:00,41.940888056,-87.698018017,POINT (-87.698018017 41.940888056),0
318,951d3db64b0ee525f4f8f970873ee836cc0e4714739be5b69b3031817f52d95d173ea9ec46ff1ad6a2894b3a8e5110d207c4929fe0161c094d20f79bb3077868,JB167567,,02/27/2018 04:00:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,$500 OR LESS,02/27/2018 04:05:00 PM,DISREGARDING TRAFFIC SIGNALS,NOT APPLICABLE,600,W,DIVISION ST,1822.0,,,,,,,2.0,INCAPACITATING INJURY,1.0,0.0,1.0,0.0,0.0,1.0,0.0,16,3,2,41.903825234,-87.64328636,POINT (-87.643286359995 41.903825233976),2018-02-27 16:00:00,41.903825234,-87.64328636,POINT (-87.64328636 41.903825234),0
343,a4b0d5c10568fd2428599edbbe8cf0fa81674d59e2672e9627d5d2e2af3b3e3824c0c990aae6b8a69c27c795c414e4dc745cea93d9df5cbb5d2aa2526eea39ca,JC113311,,01/11/2019 06:22:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,NOT DIVIDED,2.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,$500 OR LESS,01/11/2019 06:26:00 PM,FAILING TO YIELD RIGHT-OF-WAY,UNABLE TO DETERMINE,3951,N,DAMEN AVE,1922.0,,,Y,,,,2.0,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,1.0,0.0,18,6,1,41.954068242,-87.678604449,POINT (-87.678604449027 41.954068242042),2019-01-11 18:22:00,41.954068242,-87.678604449,POINT (-87.67860444900001 41.954068242),0
379,b670ac523156b61cd894d503b8b0848e33d01f6b48dee2a171b431d5108aecc94eabdcea57c60ec1fc558a4b8fc92f51148dc8ddf55d0e037aae8533e5c493f1,JA423159,,09/08/2017 07:45:00 AM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,$500 OR LESS,09/08/2017 08:00:00 AM,FAILING TO YIELD RIGHT-OF-WAY,FAILING TO YIELD RIGHT-OF-WAY,745,W,ARMITAGE AVE,1813.0,,,Y,,,,2.0,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,1.0,0.0,7,6,9,41.918075676,-87.647865591,POINT (-87.647865591007 41.918075676022),2017-09-08 07:45:00,41.918075676,-87.647865591,POINT (-87.647865591 41.918075676),0
403,c125ab478f7a272b488870774ecb86421f654d4adb2d69ad48f7fd08c948a7110c8d21005178af061b8e79eead043b13e7ac6e9f10f0966770c3d13379011b59,JD127584,,01/24/2020 08:10:00 PM,35,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,RAIN,DARKNESS,PEDALCYCLIST,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,$500 OR LESS,01/24/2020 08:10:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,1859,N,ELSTON AVE,1433.0,,,,,,,2.0,"REPORTED, NOT EVIDENT",1.0,0.0,0.0,0.0,1.0,4.0,0.0,20,6,1,41.916381427,-87.66618973,POINT (-87.666189730021 41.916381427046),2020-01-24 20:10:00,41.916381427,-87.66618973,POINT (-87.66618973 41.916381427),0
441,d6c4461fe70cdf154c9e064b3b47f3c8ad14fdfb270f0a310e8f9569029bc0dee49955fd62fbc544f289519cf40c3fe6fe0191e85ae5128ba951f04ee273e982,JC336997,,07/06/2019 08:00:00 AM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDALCYCLIST,FOUR WAY,,STRAIGHT AND LEVEL,DRY,UNKNOWN,ON SCENE,NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",07/06/2019 08:01:00 AM,DISREGARDING TRAFFIC SIGNALS,NOT APPLICABLE,800,W,GRAND AVE,1214.0,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8,7,7,41.891293713,-87.647680593,POINT (-87.647680593026 41.891293712961),2019-07-06 08:00:00,41.891293713,-87.647680593,POINT (-87.647680593 41.891293713),0
469,e18d215f107e971b886ec9f23ca91a477b1d79f2fe9d2c9ed98b98d00febd34d91dbc2470723bf7e2712f7c4f11a0ce0bdeb922011a2350266a56591151bff28,JC557582,,12/23/2019 12:09:00 PM,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDALCYCLIST,FOUR WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,$500 OR LESS,12/23/2019 12:09:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,300,W,23RD ST,914.0,,,,,,,2.0,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,1.0,0.0,12,2,12,41.851044205,-87.634819768,POINT (-87.634819768008 41.851044205018),2019-12-23 12:09:00,41.851044205,-87.634819768,POINT (-87.634819768 41.851044205),0
640,fdc5d4d1299102e75fd8c7997ea5c343a0b5e62a4f7bde7d2b6e5a02cd0d1c68711cc086eac0fabcbb7060de7b587328ca5dd9c56e8c8052c2595113fe818adf,JD168667,Y,02/29/2020 12:35:00 AM,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,NOT DIVIDED,,STRAIGHT ON GRADE,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,Y,"$501 - $1,500",02/29/2020 12:39:00 AM,UNABLE TO DETERMINE,NOT APPLICABLE,3730,W,LAKE ST,1122.0,,,,,,,2.0,FATAL,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,7,2,41.885242209,-87.719701637,POINT (-87.719701637005 41.885242209045),2020-02-29 00:35:00,41.885242209,-87.719701637,POINT (-87.719701637 41.885242209),0
