,X,Y,OBJECTID,INCKEY,COLDETKEY,REPORTNO,STATUS,ADDRTYPE,INTKEY,LOCATION,EXCEPTRSNCODE,EXCEPTRSNDESC,SEVERITYCODE,SEVERITYDESC,COLLISIONTYPE,PERSONCOUNT,PEDCOUNT,PEDCYLCOUNT,VEHCOUNT,INJURIES,SERIOUSINJURIES,FATALITIES,INCDATE,INCDTTM,JUNCTIONTYPE,SDOT_COLCODE,SDOT_COLDESC,INATTENTIONIND,UNDERINFL,WEATHER,ROADCOND,LIGHTCOND,PEDROWNOTGRNT,SDOTCOLNUM,SPEEDING,ST_COLCODE,ST_COLDESC,SEGLANEKEY,CROSSWALKKEY,HITPARKEDCAR,Date,Latitude,Longitude,geometry,index_right
81,-122.33844952198928,47.6087886549677,1082,316542,318042,3750701,Matched,Block,,2ND AVE BETWEEN UNION ST AND PIKE ST, ,,2,Injury Collision,Cycles,3,0,1,1,1,0,0,2019-03-21T00:00:00.000Z,3/21/2019 5:13:00 PM,Mid-Block (not related to intersection),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",Y,N,Clear or Partly Cloudy,Dry,Daylight,,,,6,Pedalcyclist Strikes Moving Vehicle,0,0,N,2019-03-21 17:13:00,47.6087886549677,-122.33844952198928,POINT (-122.3384495219893 47.6087886549677),0
101,-122.32006083970396,47.64044969209657,1102,27600,27600,1772594,Matched,Block,,10TH AVE E BETWEEN E LYNN ST AND E MILLER ST,,,2b,Serious Injury Collision,Cycles,3,0,1,1,1,1,0,2004-06-12T00:00:00.000Z,6/12/2004 12:31:00 PM,Mid-Block (not related to intersection),55.0,PEDALCYCLIST STRUCK MOTOR VEHICLE RIGHT SIDE SIDESWIPE,,0,Clear or Partly Cloudy,Dry,Daylight,,4164010.0,,45,Vehicle - Pedalcyclist,0,0,N,2004-06-12 12:31:00,47.64044969209657,-122.32006083970396,POINT (-122.320060839704 47.64044969209657),0
106,-122.3454358847719,47.67913447558788,1107,316394,317894,3810349,Matched,Block,,AURORA AVE N BETWEEN N 68TH ST AND N 70TH ST, ,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2019-03-15T00:00:00.000Z,3/15/2019 7:37:00 AM,Mid-Block (not related to intersection),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Dry,Daylight,,,,5,Vehicle Strikes Pedalcyclist,0,522797,N,2019-03-15 07:37:00,47.67913447558788,-122.3454358847719,POINT (-122.3454358847719 47.67913447558788),0
123,-122.34462955209518,47.69961936777915,1124,322193,323693,E948596,Matched,Intersection,37312.0,AURORA AVE N AND N 97TH ST, ,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2019-08-07T00:00:00.000Z,8/7/2019 7:00:00 PM,At Intersection (intersection related),14.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",Y,N,Clear or Partly Cloudy,Dry,Daylight,,,,5,Vehicle Strikes Pedalcyclist,0,0,N,2019-08-07 19:00:00,47.69961936777915,-122.34462955209518,POINT (-122.3446295520952 47.69961936777915),0
151,-122.34827964885802,47.61441995079007,1152,22600,22600,1482540,Matched,Block,,1ST AVE BETWEEN BATTERY ST AND WALL ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2004-07-02T00:00:00.000Z,7/2/2004,Mid-Block (not related to intersection),55.0,PEDALCYCLIST STRUCK MOTOR VEHICLE RIGHT SIDE SIDESWIPE,,0,Clear or Partly Cloudy,Dry,Daylight,,4184005.0,,45,Vehicle - Pedalcyclist,0,0,N,2004-07-02 00:00:00,47.61441995079007,-122.34827964885802,POINT (-122.348279648858 47.61441995079007),0
162,-122.29298983476743,47.627191362075216,1163,141400,141400,3593588,Matched,Block,,LAKE WASHINGTON BLVD E BETWEEN E MADISON ST AND ARBORETUM DR E,,,2b,Serious Injury Collision,Cycles,5,0,1,1,1,1,0,2012-08-05T00:00:00.000Z,8/5/2012 5:33:00 PM,Mid-Block (not related to intersection),11.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,Y,Clear or Partly Cloudy,Dry,Daylight,,12218017.0,,45,Vehicle - Pedalcyclist,8944,0,N,2012-08-05 17:33:00,47.627191362075216,-122.29298983476743,POINT (-122.2929898347674 47.62719136207522),0
172,-122.38545807825716,47.56107185198776,1173,146200,146220,3505516,Matched,Intersection,31917.0,42ND AVE SW AND SW ALASKA ST, ,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2013-05-15T00:00:00.000Z,5/15/2013 5:06:00 PM,At Intersection (intersection related),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Raining,Wet,Daylight,Y,,,45,Vehicle - Pedalcyclist,0,521779,N,2013-05-15 17:06:00,47.56107185198776,-122.38545807825716,POINT (-122.3854580782572 47.56107185198776),0
193,-122.30668856294176,47.68304696269502,1194,140700,140700,3504261,Matched,Intersection,24760.0,20TH AVE NE AND NE 75TH ST, ,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2012-07-24T00:00:00.000Z,7/24/2012 5:34:00 PM,At Intersection (intersection related),51.0,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,N,Clear or Partly Cloudy,Dry,Daylight,Y,12206022.0,,45,Vehicle - Pedalcyclist,0,524374,N,2012-07-24 17:34:00,47.68304696269502,-122.30668856294176,POINT (-122.3066885629418 47.68304696269502),0
217,-122.38009272065256,47.56225703051816,1218,237300,237740,3744480,Matched,Intersection,31915.0,38TH AVE SW AND FAUNTLEROY WAY SW, ,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2017-03-22T00:00:00.000Z,3/22/2017 5:12:00 AM,At Intersection (intersection related),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",Y,N,Clear or Partly Cloudy,Dry,Dark - Street Lights On,,,,45,Vehicle - Pedalcyclist,16285,0,N,2017-03-22 05:12:00,47.56225703051816,-122.38009272065256,POINT (-122.3800927206526 47.56225703051816),0
229,-122.35681438552155,47.708721227181975,1230,217700,217980,E532429,Matched,Intersection,36261.0,PALATINE AVE N AND N 110TH ST,NEI,"Not Enough Information, or Insufficient Location Information",2,Injury Collision,Angles,1,0,1,1,1,0,0,2016-04-01T00:00:00.000Z,4/1/2016 9:40:00 AM,At Intersection (intersection related),0.0,NOT ENOUGH INFORMATION / NOT APPLICABLE,,N,Clear or Partly Cloudy,Dry,Daylight,,,,10,Entering at angle,0,0,N,2016-04-01 09:40:00,47.708721227181975,-122.35681438552155,POINT (-122.3568143855215 47.70872122718198),0
