ID,total,slight,serious,neigh,Road_name,Road_name2,h,Day_of_Week,m,Speed_limit,Junction_Detail,Junction_Control,Pedestrian_Crossing-Physical_Facilities,aadf_Road_name,aadf_Road_category,aadf_Road_type,distance_to_cp,aadf_Pedal_cycles,aadf_All_motor_vehicles,aadf_All_HGVs,aadf_LGVs,aadf_Buses_and_coaches,total_norm,serious_ratio,N_year,Year_start,Year_end,Max_year_gap
0,6201,292,257,35,16,A11,U,17,2,7,30,3,4,0,A11,PA,Major,6.560842185917548e-05,2435.0,39430.78767123288,1257.623287671233,5412.876712328767,1410.2808219178082,0.11991786447638604,0.11986301369863013,22,2000,2021,1
1,56175,237,208,29,15,A11,C,18,4,10,30,3,2,0,A11,PA,Major,6.75403404716221e-05,2677.7805907172997,24195.257383966244,1043.9240506329113,3543.902953586498,909.1518987341772,0.08850613109288188,0.12236286919831224,22,2000,2021,1
2,56771,217,194,23,2,A215,U,9,5,5,30,3,4,0,A215,PA,Major,6.0166476565017185e-05,2473.3732718894007,17012.562211981567,618.9723502304147,2368.4654377880183,2858.0184331797236,0.08773443235045332,0.10599078341013825,22,2000,2021,1
3,56091,159,145,14,3,A2,U,9,4,6,30,3,2,0,A2,PA,Major,8.077555010275499e-05,1914.5283018867924,33836.49056603773,1765.8301886792453,5761.03144654088,2019.7232704402516,0.08304917709667882,0.0880503144654088,22,2000,2021,1
4,46218,144,127,17,9,A13,U,8,3,9,30,3,4,0,A13,PA,Major,7.384970889154618e-05,932.3333333333334,27906.506944444445,1467.263888888889,3743.159722222222,1038.4791666666667,0.1544511977118341,0.11805555555555555,22,2000,2021,1
5,7603,139,128,11,1,A3212,B323,9,3,6,30,1,4,1,A3212,PA,Major,4.0204724576212245e-05,5508.3884892086335,24890.776978417267,1050.7985611510792,3708.31654676259,1164.7338129496402,0.02523424051740576,0.07913669064748201,22,2000,2021,1
6,37619,139,121,18,15,A1209,U,19,5,7,30,3,4,0,A1209,PA,Major,6.453762725611732e-05,1484.5755395683452,14772.94964028777,474.67625899280574,2100.94964028777,711.2589928057554,0.09362945589175987,0.12949640287769784,22,2000,2021,1
7,46107,134,119,15,2,A3,A3,9,3,10,30,1,4,0,A3,PA,Major,1.227729995335221e-05,5382.582089552238,50421.70895522388,2040.8805970149253,8573.701492537313,4740.119402985075,0.02489511497838523,0.11194029850746269,22,2000,2021,1
8,46120,133,112,21,6,A4,A4,18,4,6,30,3,2,0,A4,PA,Major,4.951107657545023e-05,1860.3157894736842,54735.83458646617,1780.9172932330828,6629.195488721804,3644.0150375939847,0.07149323827307191,0.15789473684210525,22,2000,2021,1
9,16188,130,109,21,9,A11,U,18,3,9,30,3,4,0,A11,PA,Major,2.3081210040650025e-05,1663.1846153846154,21053.084615384614,1337.1076923076923,2930.646153846154,1542.576923076923,0.07816330117383703,0.16153846153846155,22,2000,2021,1
10,36664,122,110,12,14,A104,U,18,4,2,30,3,4,0,A104,PA,Major,3.973065139905816e-05,2451.8360655737706,17406.89344262295,434.38524590163934,2541.7950819672133,2079.6393442622953,0.04975862852863695,0.09836065573770492,22,2000,2021,1
11,17498,117,98,19,15,A1208,U,18,4,5,30,3,4,0,A1208,PA,Major,5.021810587794206e-05,2154.1452991452993,18828.521367521367,905.6239316239316,3754.2820512820513,1022.5555555555555,0.05431388497629297,0.1623931623931624,22,2000,2021,1
12,27663,109,96,13,7,A3212,U,18,3,5,30,3,2,5,A3212,PA,Major,4.307932120762077e-05,2373.1651376146788,23606.61467889908,754.0733944954128,3274.1009174311926,3437.266055045872,0.04593022132018943,0.11926605504587157,22,2000,2021,1
13,7606,107,89,18,0,A3217,U,19,4,3,30,3,4,0,A3217,PA,Major,4.737663484160086e-05,2364.8598130841124,21309.635514018693,450.68224299065423,2448.542056074766,1122.3084112149534,0.04524581093898197,0.16822429906542055,22,2000,2021,1
